title,artist_1,artist_2,artist_3,artist_4,artist_5,artist_6,num_artists,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,type,analysis_url,track_href,id,uri
"""Starboy""",The Weeknd,Daft Punk,,,,,2,0.159,0.68,230467,0.594,True,2.35e-06,7,0.134,-7.021,1,0.28,186.04,4,0.475,audio_features,https://api.spotify.com/v1/audio-analysis/7lQqaqZu0vjxzpdATOIsDt,https://api.spotify.com/v1/tracks/7lQqaqZu0vjxzpdATOIsDt,7lQqaqZu0vjxzpdATOIsDt,spotify:track:7lQqaqZu0vjxzpdATOIsDt
"""Wherever I Go""",OneRepublic,,,,,,1,0.0915,0.552,169773,0.689,False,0,10,0.27,-6.444,0,0.0425,99.961,4,0.349,audio_features,https://api.spotify.com/v1/audio-analysis/46jLy47W8rkf8rEX04gMKB,https://api.spotify.com/v1/tracks/46jLy47W8rkf8rEX04gMKB,46jLy47W8rkf8rEX04gMKB,spotify:track:46jLy47W8rkf8rEX04gMKB
"""All In My Head (Flex)""",Fifth Harmony,Fetty Wap,,,,,2,0.023,0.689,210573,0.791,False,0,0,0.0526,-5.194,0,0.053,95.04,4,0.755,audio_features,https://api.spotify.com/v1/audio-analysis/7nD9nN3jord9wWcfW3Gkcm,https://api.spotify.com/v1/tracks/7nD9nN3jord9wWcfW3Gkcm,7nD9nN3jord9wWcfW3Gkcm,spotify:track:7nD9nN3jord9wWcfW3Gkcm
"""Hasta el Amanecer""",Nicky Jam,,,,,,1,0.283,0.837,197213,0.608,False,0,6,0.0855,-6.046,0,0.0381,94.0,4,0.582,audio_features,https://api.spotify.com/v1/audio-analysis/4wFHfY9IILHLNwakPuFogD,https://api.spotify.com/v1/tracks/4wFHfY9IILHLNwakPuFogD,4wFHfY9IILHLNwakPuFogD,spotify:track:4wFHfY9IILHLNwakPuFogD
"""Lay It All On Me (feat. Ed Sheeran)""",Rudimental,Ed Sheeran,,,,,2,0.141,0.669,242440,0.747,False,0,6,0.185,-7.108,1,0.0428,122.531,4,0.483,audio_features,https://api.spotify.com/v1/audio-analysis/6splO3UF8hSmK33y5fJTNk,https://api.spotify.com/v1/tracks/6splO3UF8hSmK33y5fJTNk,6splO3UF8hSmK33y5fJTNk,spotify:track:6splO3UF8hSmK33y5fJTNk
"""Famous""",Kanye West,,,,,,1,0.0602,0.474,196040,0.741,True,0,6,0.115,-3.69,1,0.111,174.1,4,0.402,audio_features,https://api.spotify.com/v1/audio-analysis/19a3JfW8BQwqHWUMbcqSx8,https://api.spotify.com/v1/tracks/19a3JfW8BQwqHWUMbcqSx8,19a3JfW8BQwqHWUMbcqSx8,spotify:track:19a3JfW8BQwqHWUMbcqSx8
"""The Greatest""",Sia,,,,,,1,0.0174,0.639,210920,0.785,False,0.00107,10,0.0512,-6.167,0,0.174,191.95,4,0.686,audio_features,https://api.spotify.com/v1/audio-analysis/6bLopGnirdrilrpdVB6Um1,https://api.spotify.com/v1/tracks/6bLopGnirdrilrpdVB6Um1,6bLopGnirdrilrpdVB6Um1,spotify:track:6bLopGnirdrilrpdVB6Um1
"""Let It Go""",James Bay,,,,,,1,0.818,0.546,260533,0.311,False,1.65e-05,1,0.107,-10.396,1,0.0288,147.464,4,0.246,audio_features,https://api.spotify.com/v1/audio-analysis/13HVjjWUZFaWilh2QUJKsP,https://api.spotify.com/v1/tracks/13HVjjWUZFaWilh2QUJKsP,13HVjjWUZFaWilh2QUJKsP,spotify:track:13HVjjWUZFaWilh2QUJKsP
"""Sugar""",Maroon 5,,,,,,1,0.0591,0.748,235493,0.788,True,0,1,0.0863,-7.055,1,0.0334,120.076,4,0.884,audio_features,https://api.spotify.com/v1/audio-analysis/494OU6M7NOf4ICYb4zWCf5,https://api.spotify.com/v1/tracks/494OU6M7NOf4ICYb4zWCf5,494OU6M7NOf4ICYb4zWCf5,spotify:track:494OU6M7NOf4ICYb4zWCf5
"""Say It (feat. Tove Lo)""",Flume,Tove Lo,,,,,2,0.0668,0.598,262521,0.532,True,3.22e-06,3,0.0617,-6.833,0,0.0295,74.963,4,0.261,audio_features,https://api.spotify.com/v1/audio-analysis/4sQMalN597HdggTu196aL0,https://api.spotify.com/v1/tracks/4sQMalN597HdggTu196aL0,4sQMalN597HdggTu196aL0,spotify:track:4sQMalN597HdggTu196aL0
